"0","Alcona","0","2.15","2.15","2.15","Total All Sectors","2014"
"1","Alger","1.51","1.61","0.8","2.15","Total All Sectors","2014"
"2","Allegan","0","2.15","2.15","2.15","Total All Sectors","2014"
"3","Alpena","2.15","2.15","2.15","2.15","Total All Sectors","2014"
"4","Antrim","0","2.15","0.05","2.15","Total All Sectors","2014"
"5","Arenac","0","2.15","0.07","2.15","Total All Sectors","2014"
"6","Baraga","2.15","2.15","0","2.15","Total All Sectors","2014"
"7","Barry","0","2.15","0.77","2.15","Total All Sectors","2014"
"8","Bay","2.15","2.15","2.15","2.15","Total All Sectors","2014"
"9","Benzie","0","2.15","2.15","2.15","Total All Sectors","2014"
"10","Berrien","2.15","2.15","1.63","2.15","Total All Sectors","2014"
"11","Branch","0","2.15","2.15","2.15","Total All Sectors","2014"
"12","Calhoun","0","2.15","1.71","2.15","Total All Sectors","2014"
"13","Cass","0","2.15","1.11","2.15","Total All Sectors","2014"
"14","Charlevoix","2.15","2.15","0.99","2.15","Total All Sectors","2014"
"15","Cheboygan","0","1.36","2.15","2.15","Total All Sectors","2014"
"16","Chippewa","0.46","1.32","0","1.77","Total All Sectors","2014"
"17","Clare","0.91","1.43","0.35","2.15","Total All Sectors","2014"
"18","Clinton","0","2.01","0.67","2.15","Total All Sectors","2014"
"19","Crawford","0","1.27","0.05","1.32","Total All Sectors","2014"
"20","Delta","2.15","1.18","0.21","2.15","Total All Sectors","2014"
"21","Dickinson","0","1.14","2.15","2.15","Total All Sectors","2014"
"22","Eaton","0","1.13","0.24","1.37","Total All Sectors","2014"
"23","Emmet","0.05","2.15","0.55","2.15","Total All Sectors","2014"
"24","Genesee","0","1.13","0.05","1.19","Total All Sectors","2014"
"25","Gladwin","0.5","0.84","0.01","1.34","Total All Sectors","2014"
"26","Gogebic","0","0.86","0.03","0.89","Total All Sectors","2014"
"27","Grand Traverse","0","1.49","0.03","1.52","Total All Sectors","2014"
"28","Gratiot","0","2.15","0.41","2.15","Total All Sectors","2014"
"29","Hillsdale","0","2.15","0.29","2.15","Total All Sectors","2014"
"30","Houghton","2.15","0.7","0.01","2.15","Total All Sectors","2014"
"31","Huron","0.01","0.8","0.33","1.14","Total All Sectors","2014"
"32","Ingham","0","0.95","2.15","2.15","Total All Sectors","2014"
"33","Ionia","1.86","1.33","0.18","2.15","Total All Sectors","2014"
"34","Iosco","0.29","0.66","0.05","1","Total All Sectors","2014"
"35","Iron","0","0.6","0.9","1.51","Total All Sectors","2014"
